National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
1100DKL,Derk Lithosol Variant,255,204,0,DEAD
1100DKS,Derk Shaley Phase,255,204,0,DEAD
1100DO,Dovea,255,204,0,LIVE
1100DP,Deerpark variant,255,204,0,DEAD
1100DY,Dooyork,255,204,0,DEAD
1100FN,Finnea,255,204,0,DEAD
1100HT,Hughstown,255,204,0,DEAD
1100KB,Kilbeheny,255,204,0,DEAD
1100KC,Kennycourt,255,204,0,LIVE
1100KE,Kells,255,204,0,LIVE
1100KEG,Kilfergus,255,204,0,DEAD
1100KH,Knocknaskeha,255,204,0,DEAD
1100KI,Kill,255,204,0,LIVE
1100KIL,Kill lithic phase,255,204,0,DEAD
1100KL,Keeloge,255,204,0,DEAD
1100KN,Killinick,255,204,0,DEAD
1100KQ,Knocksquire,255,204,0,LIVE
1100KV,Kinvarra,255,204,0,DEAD
1100KVB,Kinvarra Bouldery phase,255,204,0,DEAD
1100KVW,Kinvarra,255,204,0,DEAD
1100LA,Ladestown,255,204,0,LIVE
1100MB,Mullabane,255,204,0,LIVE
1100NBE1,NBE1,255,204,0,DEAD
1100NBE3,NBE3,255,204,0,DEAD
1100NBE4,NBE4,255,204,0,DEAD
1100OR,Old Ross,255,204,0,DEAD
1100RAB,Rathowen Brown Earth Variant,255,204,0,DEAD
1100RG,Ridge,255,204,0,DEAD
1100RGS,Ridge Steep phase,255,204,0,DEAD
1100RGY,Ridge Stony phase,255,204,0,DEAD
1100RM,Randallsmill,255,204,0,DEAD
1100S01,Soil 1,255,204,0,DEAD
1100S01a,Soil 1a,255,204,0,DEAD
1100SG,Scraggen ,255,204,0,DEAD
1100UN03,UNnamed_03,255,204,0,DEAD
1100UN65,UNnamed_65,255,204,0,DEAD
1100UN71,UNnamed_71,255,204,0,DEAD
