National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0900KY,Kiltealy,Sandy drift with igneous and metamorphic stones,Sandy,drift with igneous and metamorphic stones,drift,igneous and metamorphic stones,Typical Brown Podzolics,Brown Podzolic,204,255,204,[],LIVE,0900KY,Kiltealy,1,0900KY
0900NBP2,NBP2,Loamy over gneiss and schist bedrock,Loamy,over gneiss and schist bedrock,bedrock,gneiss and schist,Typical Brown Podzolics,Brown Podzolic,204,255,204,[],LIVE,0900NBP2,NBP2,0,0900NBP2
0900NBP4,NBP4,Loamy drift with igneous and metamorphic stones,Loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,Typical Brown Podzolics,Brown Podzolic,204,255,204,[],LIVE,0900NBP4,NBP4,0,0900NBP4
0900RAT,Rathduff,Coarse loamy over shale and slate bedrock,Coarse loamy,over shale and slate bedrock,bedrock,shale and slate,Typical Brown Podzolics,Brown Podzolic,204,255,204,"['RPO20BR01_P1020821.JPG', 'RPO20BR01_P1020827.JPG']",LIVE,0900RAT,Rathduff,1,0900RAT
0900RO,Ross Carbery,Coarse loamy compact drift with siliceous stones,Coarse loamy,compact drift with siliceous stones,drift,siliceous stones,Typical Brown Podzolics,Brown Podzolic,204,255,204,['RPW39BR01_P1090771.JPG'],LIVE,0900RO,Ross Carbery,1,0900RO
0900SN,Screen,Sandy stoneless drift,Sandy,stoneless  drift ,drift,stoneless,Typical Brown Podzolics,Brown Podzolic,204,255,204,[],LIVE,0900SN,Screen,1,0900SN
0900TM,Tomies,Sandy drift with siliceous stones,Sandy,drift with siliceous stones,drift,siliceous stones,Typical Brown Podzolics,Brown Podzolic,204,255,204,"['RPV88BR01_P1030103.JPG', 'RPV88BR01_P1030110.JPG']",LIVE,0900TM,Tomies,1,0900TM
0900TN,Tiknock,Loamy over acid and basic igneous bedrock,Loamy,over acid and basic igneous bedrock,bedrock,acid and basic igneous,Typical Brown Podzolics,Brown Podzolic,204,255,204,"['RPO12BR01_P1020848.JPG', 'RPO12BR01_P1020850.JPG']",LIVE,0900TN,Tiknock,1,0900TN
0900UN29,UNnamed_29,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Typical Brown Podzolics,Brown Podzolic,204,255,204,[],LIVE,0900UN29,UNnamed_29,0,0900UN29
0920CG,Clonegall,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Gleyic Brown Podzolics,Brown Podzolic,204,255,204,[],LIVE,0920CG,Clonegall,1,0920CG
